title_product,rating,rating_number,price,description,features,store,details,top_10_comments
Nivea Men Protect and Care Deoderant 150ml,3.0,11,12.44,['Nivea Men Protect and Care Deoderant 150ml'],[],NIVEA,"{""Brand"": ""NIVEA"", ""Item Form"": ""Cream"", ""Number of Items"": ""1"", ""Unit Count"": ""1.00 Count"", ""Item Volume"": ""150 Milliliters"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""12 x 4 x 8 inches; 2 Pounds""}","['{""Brand"": ""NIVEA"", ""Item Form"": ""Cream"", ""Number of Items"": ""1"", ""Unit Count"": ""1.00 Count"", ""Item Volume"": ""150 Milliliters"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""12 x 4 x 8 inches; 2 Pounds""}', '{""Brand"": ""NIVEA"", ""Item Form"": ""Cream"", ""Number of Items"": ""1"", ""Unit Count"": ""1.00 Count"", ""Item Volume"": ""150 Milliliters"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""12 x 4 x 8 inches; 2 Pounds""}', '{""Brand"": ""NIVEA"", ""Item Form"": ""Cream"", ""Number of Items"": ""1"", ""Unit Count"": ""1.00 Count"", ""Item Volume"": ""150 Milliliters"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""12 x 4 x 8 inches; 2 Pounds""}', '{""Brand"": ""NIVEA"", ""Item Form"": ""Cream"", ""Number of Items"": ""1"", ""Unit Count"": ""1.00 Count"", ""Item Volume"": ""150 Milliliters"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""12 x 4 x 8 inches; 2 Pounds""}']"
Fancy Dress VIP Rainbow Fan Brush Face & Body Paint Gay Lesbian Pride Flag Makeup Pocket Size Easy Wash Off Marches Events Festival Facepaint Fancy Dress Accessory,4.0,15,6.22,[],[],Fanbrush,"{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3.94 x 3.94 x 0.39 inches; 2.47 Ounces"", ""Manufacturer"": ""Fanbrush""}","['{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3.94 x 3.94 x 0.39 inches; 2.47 Ounces"", ""Manufacturer"": ""Fanbrush""}', '{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3.94 x 3.94 x 0.39 inches; 2.47 Ounces"", ""Manufacturer"": ""Fanbrush""}', '{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3.94 x 3.94 x 0.39 inches; 2.47 Ounces"", ""Manufacturer"": ""Fanbrush""}']"
Full Shine Ponytail Extension Real Human Hair Ash Blonde Highlighted Bleach Blonde Hair Ponytail Hair Piece for Women 12 Inch Human Hair Ponytail 70g Clip in Ponytail Hair Extensions,4.0,5,19.99,['Full Shine Ponytail'],[],Full Shine,"{""Brand"": ""Full Shine"", ""Material"": ""Human Hair"", ""Extension Length"": ""12 Inches"", ""Style"": ""Long Straight Hair"", ""Hair Type"": ""Straight"", ""Package Dimensions"": ""7.24 x 4.92 x 1.26 inches; 5.29 Ounces""}","['{""Brand"": ""Full Shine"", ""Material"": ""Human Hair"", ""Extension Length"": ""12 Inches"", ""Style"": ""Long Straight Hair"", ""Hair Type"": ""Straight"", ""Package Dimensions"": ""7.24 x 4.92 x 1.26 inches; 5.29 Ounces""}']"
Love Tanning Stickers 100 Pack,2.0,11,4.95,[],"['Measure Your Tan' 'Show Your Sexy Side' 'Lasts For 100 Tans'
 'High Quality Stickers' 'Creates A Unique Look']",Tanning Stickers,"{""Skin Type"": ""All"", ""Brand"": ""Tanning Stickers"", ""Skin Tone"": ""All"", ""Unit Count"": ""100.0 Count"", ""UPC"": ""839418005150"", ""Manufacturer"": ""Tanning Stickers""}","['{""Skin Type"": ""All"", ""Brand"": ""Tanning Stickers"", ""Skin Tone"": ""All"", ""Unit Count"": ""100.0 Count"", ""UPC"": ""839418005150"", ""Manufacturer"": ""Tanning Stickers""}', '{""Skin Type"": ""All"", ""Brand"": ""Tanning Stickers"", ""Skin Tone"": ""All"", ""Unit Count"": ""100.0 Count"", ""UPC"": ""839418005150"", ""Manufacturer"": ""Tanning Stickers""}', '{""Skin Type"": ""All"", ""Brand"": ""Tanning Stickers"", ""Skin Tone"": ""All"", ""Unit Count"": ""100.0 Count"", ""UPC"": ""839418005150"", ""Manufacturer"": ""Tanning Stickers""}', '{""Skin Type"": ""All"", ""Brand"": ""Tanning Stickers"", ""Skin Tone"": ""All"", ""Unit Count"": ""100.0 Count"", ""UPC"": ""839418005150"", ""Manufacturer"": ""Tanning Stickers""}']"
Murray's Beeswax Honey Whip Curl Enhancer,5.0,14,15.97,[],[],Murray's,"{""Hair Type"": ""Curly"", ""Scent"": ""Honey"", ""Item Form"": ""Cream"", ""Brand"": ""Murray's"", ""Number of Items"": ""1"", ""Product Dimensions"": ""3.68 x 3.68 x 3.56 inches; 1.13 Pounds""}","['{""Hair Type"": ""Curly"", ""Scent"": ""Honey"", ""Item Form"": ""Cream"", ""Brand"": ""Murray\'s"", ""Number of Items"": ""1"", ""Product Dimensions"": ""3.68 x 3.68 x 3.56 inches; 1.13 Pounds""}']"
MasqueBar Fantasy Gingerbread Man Nourishing Sheet Mask (1 mask),3.0,1,3.99,['Pack of 1'],[],masque BAR,"{""Brand"": ""masque BAR"", ""Item Form"": ""Sheet"", ""Product Benefits"": ""Nourishing"", ""Scent"": ""Gingerbread"", ""Unit Count"": ""1.00 Fl Oz"", ""Is Discontinued By Manufacturer"": ""No"", ""UPC"": ""628816007961""}","['{""Brand"": ""masque BAR"", ""Item Form"": ""Sheet"", ""Product Benefits"": ""Nourishing"", ""Scent"": ""Gingerbread"", ""Unit Count"": ""1.00 Fl Oz"", ""Is Discontinued By Manufacturer"": ""No"", ""UPC"": ""628816007961""}']"
"Kinky Curly Original Curling Custard Natural Styling Gel 8oz""Pack of 3""",4.0,183,51.72,[],[],Kinky Curly,"{""Hair Type"": ""Kinky"", ""Liquid Volume"": ""8 Fluid Ounces"", ""Item Form"": ""Gel"", ""Brand"": ""Kinky Curly"", ""Number of Items"": ""3"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""9.25 x 3.66 x 3.19 inches; 1.85 Pounds"", ""UPC"": ""647679202801""}","['{""Hair Type"": ""Kinky"", ""Liquid Volume"": ""8 Fluid Ounces"", ""Item Form"": ""Gel"", ""Brand"": ""Kinky Curly"", ""Number of Items"": ""3"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""9.25 x 3.66 x 3.19 inches; 1.85 Pounds"", ""UPC"": ""647679202801""}', '{""Hair Type"": ""Kinky"", ""Liquid Volume"": ""8 Fluid Ounces"", ""Item Form"": ""Gel"", ""Brand"": ""Kinky Curly"", ""Number of Items"": ""3"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""9.25 x 3.66 x 3.19 inches; 1.85 Pounds"", ""UPC"": ""647679202801""}', '{""Hair Type"": ""Kinky"", ""Liquid Volume"": ""8 Fluid Ounces"", ""Item Form"": ""Gel"", ""Brand"": ""Kinky Curly"", ""Number of Items"": ""3"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""9.25 x 3.66 x 3.19 inches; 1.85 Pounds"", ""UPC"": ""647679202801""}', '{""Hair Type"": ""Kinky"", ""Liquid Volume"": ""8 Fluid Ounces"", ""Item Form"": ""Gel"", ""Brand"": ""Kinky Curly"", ""Number of Items"": ""3"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""9.25 x 3.66 x 3.19 inches; 1.85 Pounds"", ""UPC"": ""647679202801""}', '{""Hair Type"": ""Kinky"", ""Liquid Volume"": ""8 Fluid Ounces"", ""Item Form"": ""Gel"", ""Brand"": ""Kinky Curly"", ""Number of Items"": ""3"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""9.25 x 3.66 x 3.19 inches; 1.85 Pounds"", ""UPC"": ""647679202801""}', '{""Hair Type"": ""Kinky"", ""Liquid Volume"": ""8 Fluid Ounces"", ""Item Form"": ""Gel"", ""Brand"": ""Kinky Curly"", ""Number of Items"": ""3"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""9.25 x 3.66 x 3.19 inches; 1.85 Pounds"", ""UPC"": ""647679202801""}', '{""Hair Type"": ""Kinky"", ""Liquid Volume"": ""8 Fluid Ounces"", ""Item Form"": ""Gel"", ""Brand"": ""Kinky Curly"", ""Number of Items"": ""3"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""9.25 x 3.66 x 3.19 inches; 1.85 Pounds"", ""UPC"": ""647679202801""}', '{""Hair Type"": ""Kinky"", ""Liquid Volume"": ""8 Fluid Ounces"", ""Item Form"": ""Gel"", ""Brand"": ""Kinky Curly"", ""Number of Items"": ""3"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""9.25 x 3.66 x 3.19 inches; 1.85 Pounds"", ""UPC"": ""647679202801""}', '{""Hair Type"": ""Kinky"", ""Liquid Volume"": ""8 Fluid Ounces"", ""Item Form"": ""Gel"", ""Brand"": ""Kinky Curly"", ""Number of Items"": ""3"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""9.25 x 3.66 x 3.19 inches; 1.85 Pounds"", ""UPC"": ""647679202801""}', '{""Hair Type"": ""Kinky"", ""Liquid Volume"": ""8 Fluid Ounces"", ""Item Form"": ""Gel"", ""Brand"": ""Kinky Curly"", ""Number of Items"": ""3"", ""Is Discontinued By Manufacturer"": ""No"", ""Package Dimensions"": ""9.25 x 3.66 x 3.19 inches; 1.85 Pounds"", ""UPC"": ""647679202801""}']"
"RetroDeco Magic Creator III Professional Machine Power Supply- Dual Output, Backlit Digital Display & Glowing Blue LEDs",4.0,53,13.99,[],"['🎨 The RetroDeco Magic Creator III power supply features a backlit digital display, magnetic induction voltage dial, and glowing blue LEDs that pulsate when using.'
 '⚡️ Adjust voltage between 1.5-12 volts by 0.1v increments with precision regulated voltage output so you can fine-tune your machine with unparalleled accuracy. Input voltage: 100V-240V, AC50/60Hz Output: DC12V/1.5A.'
 '✅ Dual output so artists can seamlessly switch between liner and shader machines. Long-press the toggle button to switch between multiple machines quickly and easily.'
 '👟 Easy one-button toggle, no foot pedal required! Use the toggle button to turn your machine on/off or plug in any foot pedal of your choice.'
 '🛠️ Built to last using CNC-machined polycarbonate, magnetic induction voltage dial, and a grippy anti-slip silicone base. Advanced digital microprocessor regulates voltage output with unparalleled accuracy.']",RetroDeco,"{""Package Dimensions"": ""4.41 x 4.29 x 3.7 inches; 9.49 Ounces"", ""Item model number"": ""MC-3"", ""Manufacturer"": ""Magic Creator""}","['{""Package Dimensions"": ""4.41 x 4.29 x 3.7 inches; 9.49 Ounces"", ""Item model number"": ""MC-3"", ""Manufacturer"": ""Magic Creator""}', '{""Package Dimensions"": ""4.41 x 4.29 x 3.7 inches; 9.49 Ounces"", ""Item model number"": ""MC-3"", ""Manufacturer"": ""Magic Creator""}', '{""Package Dimensions"": ""4.41 x 4.29 x 3.7 inches; 9.49 Ounces"", ""Item model number"": ""MC-3"", ""Manufacturer"": ""Magic Creator""}', '{""Package Dimensions"": ""4.41 x 4.29 x 3.7 inches; 9.49 Ounces"", ""Item model number"": ""MC-3"", ""Manufacturer"": ""Magic Creator""}']"
"1 oz, Yellow - Bargz Perfume - Joop Body Oil For Women Scented Fragrance",1.0,8,9.99,[],[],Bargz,"{""Brand"": ""Bargz"", ""Item Form"": ""Oil"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""UPC"": ""781772913599""}","['{""Brand"": ""Bargz"", ""Item Form"": ""Oil"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""UPC"": ""781772913599""}', '{""Brand"": ""Bargz"", ""Item Form"": ""Oil"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""UPC"": ""781772913599""}', '{""Brand"": ""Bargz"", ""Item Form"": ""Oil"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""UPC"": ""781772913599""}', '{""Brand"": ""Bargz"", ""Item Form"": ""Oil"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""UPC"": ""781772913599""}', '{""Brand"": ""Bargz"", ""Item Form"": ""Oil"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""UPC"": ""781772913599""}', '{""Brand"": ""Bargz"", ""Item Form"": ""Oil"", ""Unit Count"": ""1.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""UPC"": ""781772913599""}']"
"MAC Lustre Lipstick, Spice it up, 3 g",2.0,143,14.81,"['A lightweight Lipstick formula with easy glide, sheer-to-medium buildable coverage and a lustrous finish.']","['Mac Lustre Lipstick Spice It Up! 3g'
 'Package Dimension: 19.37 x 13.86 x 0.87 inches' 'Model No: 773602033744'
 'Item package weight: 0.6 ounces']",MAC,"{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3.15 x 0.79 x 0.79 inches; 0.6 Ounces"", ""Item model number"": ""773602033744"", ""UPC"": ""773602033744"", ""Manufacturer"": ""MAC""}","['{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3.15 x 0.79 x 0.79 inches; 0.6 Ounces"", ""Item model number"": ""773602033744"", ""UPC"": ""773602033744"", ""Manufacturer"": ""MAC""}', '{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3.15 x 0.79 x 0.79 inches; 0.6 Ounces"", ""Item model number"": ""773602033744"", ""UPC"": ""773602033744"", ""Manufacturer"": ""MAC""}', '{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3.15 x 0.79 x 0.79 inches; 0.6 Ounces"", ""Item model number"": ""773602033744"", ""UPC"": ""773602033744"", ""Manufacturer"": ""MAC""}', '{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3.15 x 0.79 x 0.79 inches; 0.6 Ounces"", ""Item model number"": ""773602033744"", ""UPC"": ""773602033744"", ""Manufacturer"": ""MAC""}', '{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3.15 x 0.79 x 0.79 inches; 0.6 Ounces"", ""Item model number"": ""773602033744"", ""UPC"": ""773602033744"", ""Manufacturer"": ""MAC""}', '{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3.15 x 0.79 x 0.79 inches; 0.6 Ounces"", ""Item model number"": ""773602033744"", ""UPC"": ""773602033744"", ""Manufacturer"": ""MAC""}', '{""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""3.15 x 0.79 x 0.79 inches; 0.6 Ounces"", ""Item model number"": ""773602033744"", ""UPC"": ""773602033744"", ""Manufacturer"": ""MAC""}']"
"MERISIHAIR Short Blonde Bob Wig with Bangs,Straight Short Blond bob Wig for Women,Synthetic Short Bob Blonde Wig Bangs Natural Looking Wigs for Daily Use",4.0,1008,16.99,[],[],MERISIHAIR,"{""Material"": ""Synthetic"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Brand"": ""MERISIHAIR"", ""Package Dimensions"": ""11.69 x 8.11 x 2.28 inches; 8.15 Ounces"", ""UPC"": ""780744482453""}","['{""Material"": ""Synthetic"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Brand"": ""MERISIHAIR"", ""Package Dimensions"": ""11.69 x 8.11 x 2.28 inches; 8.15 Ounces"", ""UPC"": ""780744482453""}', '{""Material"": ""Synthetic"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Brand"": ""MERISIHAIR"", ""Package Dimensions"": ""11.69 x 8.11 x 2.28 inches; 8.15 Ounces"", ""UPC"": ""780744482453""}', '{""Material"": ""Synthetic"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Brand"": ""MERISIHAIR"", ""Package Dimensions"": ""11.69 x 8.11 x 2.28 inches; 8.15 Ounces"", ""UPC"": ""780744482453""}', '{""Material"": ""Synthetic"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Brand"": ""MERISIHAIR"", ""Package Dimensions"": ""11.69 x 8.11 x 2.28 inches; 8.15 Ounces"", ""UPC"": ""780744482453""}', '{""Material"": ""Synthetic"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Brand"": ""MERISIHAIR"", ""Package Dimensions"": ""11.69 x 8.11 x 2.28 inches; 8.15 Ounces"", ""UPC"": ""780744482453""}', '{""Material"": ""Synthetic"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Brand"": ""MERISIHAIR"", ""Package Dimensions"": ""11.69 x 8.11 x 2.28 inches; 8.15 Ounces"", ""UPC"": ""780744482453""}', '{""Material"": ""Synthetic"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Brand"": ""MERISIHAIR"", ""Package Dimensions"": ""11.69 x 8.11 x 2.28 inches; 8.15 Ounces"", ""UPC"": ""780744482453""}', '{""Material"": ""Synthetic"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Brand"": ""MERISIHAIR"", ""Package Dimensions"": ""11.69 x 8.11 x 2.28 inches; 8.15 Ounces"", ""UPC"": ""780744482453""}', '{""Material"": ""Synthetic"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Brand"": ""MERISIHAIR"", ""Package Dimensions"": ""11.69 x 8.11 x 2.28 inches; 8.15 Ounces"", ""UPC"": ""780744482453""}', '{""Material"": ""Synthetic"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Brand"": ""MERISIHAIR"", ""Package Dimensions"": ""11.69 x 8.11 x 2.28 inches; 8.15 Ounces"", ""UPC"": ""780744482453""}']"
Saltair - Body Lotion (Exotic Pulp),1.0,55,34.9,[],[],Saltair,"{""Brand"": ""Saltair"", ""Unit Count"": ""14.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""Age Range (Description)"": ""Adult"", ""Package Dimensions"": ""8.7 x 3.46 x 3.27 inches; 1.23 Pounds"", ""UPC"": ""810083680514""}","['{""Brand"": ""Saltair"", ""Unit Count"": ""14.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""Age Range (Description)"": ""Adult"", ""Package Dimensions"": ""8.7 x 3.46 x 3.27 inches; 1.23 Pounds"", ""UPC"": ""810083680514""}', '{""Brand"": ""Saltair"", ""Unit Count"": ""14.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""Age Range (Description)"": ""Adult"", ""Package Dimensions"": ""8.7 x 3.46 x 3.27 inches; 1.23 Pounds"", ""UPC"": ""810083680514""}', '{""Brand"": ""Saltair"", ""Unit Count"": ""14.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""Age Range (Description)"": ""Adult"", ""Package Dimensions"": ""8.7 x 3.46 x 3.27 inches; 1.23 Pounds"", ""UPC"": ""810083680514""}', '{""Brand"": ""Saltair"", ""Unit Count"": ""14.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""Age Range (Description)"": ""Adult"", ""Package Dimensions"": ""8.7 x 3.46 x 3.27 inches; 1.23 Pounds"", ""UPC"": ""810083680514""}', '{""Brand"": ""Saltair"", ""Unit Count"": ""14.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""Age Range (Description)"": ""Adult"", ""Package Dimensions"": ""8.7 x 3.46 x 3.27 inches; 1.23 Pounds"", ""UPC"": ""810083680514""}', '{""Brand"": ""Saltair"", ""Unit Count"": ""14.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""Age Range (Description)"": ""Adult"", ""Package Dimensions"": ""8.7 x 3.46 x 3.27 inches; 1.23 Pounds"", ""UPC"": ""810083680514""}', '{""Brand"": ""Saltair"", ""Unit Count"": ""14.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""Age Range (Description)"": ""Adult"", ""Package Dimensions"": ""8.7 x 3.46 x 3.27 inches; 1.23 Pounds"", ""UPC"": ""810083680514""}', '{""Brand"": ""Saltair"", ""Unit Count"": ""14.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""Age Range (Description)"": ""Adult"", ""Package Dimensions"": ""8.7 x 3.46 x 3.27 inches; 1.23 Pounds"", ""UPC"": ""810083680514""}', '{""Brand"": ""Saltair"", ""Unit Count"": ""14.0 Ounce"", ""Number of Items"": ""1"", ""Skin Type"": ""All"", ""Age Range (Description)"": ""Adult"", ""Package Dimensions"": ""8.7 x 3.46 x 3.27 inches; 1.23 Pounds"", ""UPC"": ""810083680514""}']"
Sapphirewigs Blonde Bob Wig Brown Root Ombre Blonde Bob Short Straight Middle Part Synthetic Bob Wigs for Cosplay Daily Party Use 14inch,3.0,20,15.99,[],"['Lace Front Wigs: 14 inches short bob lace front wigs with 5inch deep T- middle part.'
 'High-quality: It is synthesized from high-quality heat-resistant fibers. Suitable for long term use.'
 'Applicable Scene: Perfect for Halloween, concerts, theme parties, weddings, dating.You can wear it to parties or for daily use.'
 'Applicable Scene: Perfect for Halloween, concerts, theme parties, weddings, dating, and any other occasion, whether for costume, fashion, or just for fun.You can wear it to parties or for daily use.'
 'Fast Delivery: 2-4 Working days to arrive by Amazon after you paid. 24 Hours customer service always waiting for you.']",SAPPHIREWIGS,"{""Material"": ""Synthetic"", ""Item Dimensions LxWxH"": ""11.81 x 5.91 x 0.79 inches"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""11.81 x 5.91 x 0.79 inches; 10.56 Ounces"", ""UPC"": ""710558529136""}","['{""Material"": ""Synthetic"", ""Item Dimensions LxWxH"": ""11.81 x 5.91 x 0.79 inches"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""11.81 x 5.91 x 0.79 inches; 10.56 Ounces"", ""UPC"": ""710558529136""}', '{""Material"": ""Synthetic"", ""Item Dimensions LxWxH"": ""11.81 x 5.91 x 0.79 inches"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""11.81 x 5.91 x 0.79 inches; 10.56 Ounces"", ""UPC"": ""710558529136""}', '{""Material"": ""Synthetic"", ""Item Dimensions LxWxH"": ""11.81 x 5.91 x 0.79 inches"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""11.81 x 5.91 x 0.79 inches; 10.56 Ounces"", ""UPC"": ""710558529136""}', '{""Material"": ""Synthetic"", ""Item Dimensions LxWxH"": ""11.81 x 5.91 x 0.79 inches"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""11.81 x 5.91 x 0.79 inches; 10.56 Ounces"", ""UPC"": ""710558529136""}', '{""Material"": ""Synthetic"", ""Item Dimensions LxWxH"": ""11.81 x 5.91 x 0.79 inches"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""11.81 x 5.91 x 0.79 inches; 10.56 Ounces"", ""UPC"": ""710558529136""}', '{""Material"": ""Synthetic"", ""Item Dimensions LxWxH"": ""11.81 x 5.91 x 0.79 inches"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""11.81 x 5.91 x 0.79 inches; 10.56 Ounces"", ""UPC"": ""710558529136""}', '{""Material"": ""Synthetic"", ""Item Dimensions LxWxH"": ""11.81 x 5.91 x 0.79 inches"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""11.81 x 5.91 x 0.79 inches; 10.56 Ounces"", ""UPC"": ""710558529136""}', '{""Material"": ""Synthetic"", ""Item Dimensions LxWxH"": ""11.81 x 5.91 x 0.79 inches"", ""Hair Type"": ""Straight"", ""Style"": ""Modern"", ""Special Feature"": ""Heat Resistant"", ""Is Discontinued By Manufacturer"": ""No"", ""Product Dimensions"": ""11.81 x 5.91 x 0.79 inches; 10.56 Ounces"", ""UPC"": ""710558529136""}']"
"JaJa 70S Series 7 Shaver Replacement Head Foil & Cutter Cassette for Braun Electric Razors 720, 760, 790, 799 and 797,Silver, 1.0 Count",1.0,11,32.0,"['Over time,the cutting parts naturally start to wear down.We therefore recommend replacing the shaver head every 18 months,to keep your shave to a few strokes and reset your electric shaver to new. How to replace your shaver head? For older models which have a foil and a cutter block as two independent parts you will need to change the parts in two steps: First remove the foil,either by pressing the release button if your shaver has one,or by pulling the foil. Next rotate the cutter block by 90 degrees and pull it off,holding it at the ends to avoid touching the blades.To fit new parts,simply carry out the same procedure in reverse']",[],JAJA,"{""Package Dimensions"": ""6.34 x 4.76 x 0.98 inches; 0.63 Ounces"", ""UPC"": ""768479975617""}","['{""Package Dimensions"": ""6.34 x 4.76 x 0.98 inches; 0.63 Ounces"", ""UPC"": ""768479975617""}', '{""Package Dimensions"": ""6.34 x 4.76 x 0.98 inches; 0.63 Ounces"", ""UPC"": ""768479975617""}', '{""Package Dimensions"": ""6.34 x 4.76 x 0.98 inches; 0.63 Ounces"", ""UPC"": ""768479975617""}', '{""Package Dimensions"": ""6.34 x 4.76 x 0.98 inches; 0.63 Ounces"", ""UPC"": ""768479975617""}', '{""Package Dimensions"": ""6.34 x 4.76 x 0.98 inches; 0.63 Ounces"", ""UPC"": ""768479975617""}']"
